time,waterlevel,CTRF
2016/7/6 00:00,1.21,-998
2016/7/6 01:00,1.21,-998
2016/7/6 02:00,1.21,-998
2016/7/6 03:00,1.21,-998
2016/7/6 04:00,1.21,-998
2016/7/6 05:00,1.21,-998
2016/7/6 06:00,1.21,-998
2016/7/6 07:00,1.21,-998
2016/7/6 08:00,1.21,-998
2016/7/6 09:00,1.2,-998
2016/7/6 10:00,1.2,-998
2016/7/6 11:00,1.2,-998
2016/7/6 12:00,1.19,-998
2016/7/6 13:00,1.19,-998
2016/7/6 14:00,1.19,-998
2016/7/6 15:00,1.18,-998
2016/7/6 16:00,1.18,-998
2016/7/6 17:00,1.19,-998
2016/7/6 18:00,1.19,-998
2016/7/6 19:00,1.19,-998
2016/7/6 20:00,1.19,-998
2016/7/6 21:00,1.19,-998
2016/7/6 22:00,1.19,-998
2016/7/6 23:00,1.19,-998
2016/7/7 00:00,1.19,-998
2016/7/7 01:00,1.19,-998
2016/7/7 02:00,1.19,-998
2016/7/7 03:00,1.19,-998
2016/7/7 04:00,1.19,-998
2016/7/7 05:00,1.19,-998
2016/7/7 06:00,1.19,-998
2016/7/7 07:00,1.19,-998
2016/7/7 08:00,1.19,-998
2016/7/7 09:00,1.18,-998
2016/7/7 10:00,1.18,-998
2016/7/7 11:00,1.18,-998
2016/7/7 12:00,1.18,-998
2016/7/7 13:00,1.18,-998
2016/7/7 14:00,1.18,-998
2016/7/7 15:00,1.18,-998
2016/7/7 16:00,1.19,-998
2016/7/7 17:00,1.19,-998
2016/7/7 18:00,1.19,-998
2016/7/7 19:00,1.19,-998
2016/7/7 20:00,1.19,-998
2016/7/7 21:00,1.19,-998
2016/7/7 22:00,1.19,-998
2016/7/7 23:00,1.19,-998
2016/7/8 00:00,1.19,-998
2016/7/8 01:00,1.19,-998
2016/7/8 02:00,1.19,-998
2016/7/8 03:00,1.19,-998
2016/7/8 04:00,1.19,0.5
2016/7/8 05:00,1.19,1.5
2016/7/8 06:00,1.19,1.5
2016/7/8 07:00,1.19,0
2016/7/8 08:00,1.18,0
2016/7/8 09:00,1.18,0
2016/7/8 10:00,1.19,29
2016/7/8 11:00,1.66,42
2016/7/8 12:00,2.97,23.5
2016/7/8 13:00,4,3.5
2016/7/8 14:00,4.12,0.5
2016/7/8 15:00,3.98,0
2016/7/8 16:00,3.56,0
2016/7/8 17:00,3.14,0
2016/7/8 18:00,2.8,1
2016/7/8 19:00,2.53,2
2016/7/8 20:00,2.33,0.5
2016/7/8 21:00,2.16,0
2016/7/8 22:00,1.98,0
2016/7/8 23:00,1.83,1
2016/7/9 00:00,1.71,0.5
2016/7/9 01:00,1.64,3.5
2016/7/9 02:00,1.63,0
2016/7/9 03:00,1.63,0
2016/7/9 04:00,1.62,0.5
2016/7/9 05:00,1.62,0
2016/7/9 06:00,1.62,0.5
2016/7/9 07:00,1.62,0.5
2016/7/9 08:00,1.75,10
2016/7/9 09:00,2.2,0
2016/7/9 10:00,2.54,0
2016/7/9 11:00,2.66,0
2016/7/9 12:00,2.7,0
2016/7/9 13:00,2.7,0
2016/7/9 14:00,2.51,-998
2016/7/9 15:00,2.18,-998
2016/7/9 16:00,1.91,-998
2016/7/9 17:00,1.73,-998
2016/7/9 18:00,1.64,0.5
2016/7/9 19:00,1.59,0
2016/7/9 20:00,1.57,0.5
2016/7/9 21:00,1.55,0
2016/7/9 22:00,1.53,0
2016/7/9 23:00,1.51,0
2016/7/10 00:00,1.49,0
2016/7/10 01:00,1.47,0
2016/7/10 02:00,1.46,3.5
2016/7/10 03:00,1.46,4
2016/7/10 04:00,1.46,0
2016/7/10 05:00,1.46,0
2016/7/10 06:00,1.48,0
2016/7/10 07:00,1.62,0
2016/7/10 08:00,1.71,1.5
2016/7/10 09:00,1.71,0
2016/7/10 10:00,1.71,2
2016/7/10 11:00,1.71,3
2016/7/10 12:00,1.82,0
2016/7/10 13:00,2.07,0
2016/7/10 14:00,2.12,0
2016/7/10 15:00,2.12,0
2016/7/10 16:00,2.06,2.5
2016/7/10 17:00,1.92,1
2016/7/10 18:00,1.91,1
2016/7/10 19:00,1.91,3.5
2016/7/10 20:00,1.91,3
2016/7/10 21:00,1.97,14.5
2016/7/10 22:00,2.07,1
2016/7/10 23:00,2.11,0
2016/7/11 00:00,2.11,0
2016/7/11 01:00,2.11,10.5
2016/7/11 02:00,2.11,1.5
2016/7/11 03:00,2.24,0
2016/7/11 04:00,2.26,0
2016/7/11 05:00,2.26,0
2016/7/11 06:00,2.08,0
2016/7/11 07:00,1.91,0
2016/7/11 08:00,1.81,1
2016/7/11 09:00,1.74,0
2016/7/11 10:00,1.71,21.5
2016/7/11 11:00,2.64,9.5
2016/7/11 12:00,3.99,46
2016/7/11 13:00,5.13,10
2016/7/11 14:00,5.76,12
2016/7/11 15:00,5.87,1.5
2016/7/11 16:00,5.78,5
2016/7/11 17:00,5.15,1
2016/7/11 18:00,4.42,0
2016/7/11 19:00,3.8,0
2016/7/11 20:00,3.4,7
2016/7/11 21:00,3.13,0
2016/7/11 22:00,2.88,0
2016/7/11 23:00,2.67,14.5
2016/7/12 00:00,2.59,1.5
2016/7/12 01:00,2.59,0
2016/7/12 02:00,2.53,0.5
2016/7/12 03:00,2.4,0
2016/7/12 04:00,2.28,5
2016/7/12 05:00,2.23,0
2016/7/12 06:00,2.21,0
2016/7/12 07:00,2.18,0
2016/7/12 08:00,2.13,0
2016/7/12 09:00,2.05,0
2016/7/12 10:00,1.98,-998
2016/7/12 11:00,1.91,0.5
2016/7/12 12:00,1.84,0
2016/7/12 13:00,1.77,0
2016/7/12 14:00,1.72,0.5
2016/7/12 15:00,1.7,0
2016/7/12 16:00,1.7,0
2016/7/12 17:00,1.7,1
2016/7/12 18:00,1.7,0.5
2016/7/12 19:00,1.7,2.5
2016/7/12 20:00,1.7,14
2016/7/12 21:00,1.7,0
2016/7/12 22:00,1.7,0
2016/7/12 23:00,1.88,0.5
2016/7/13 00:00,2.12,0
2016/7/13 01:00,2.27,0
2016/7/13 02:00,2.26,0
2016/7/13 03:00,2.2,0
2016/7/13 04:00,2,0
2016/7/13 05:00,1.86,-998
2016/7/13 06:00,1.77,-998
2016/7/13 07:00,1.71,-998
2016/7/13 08:00,1.65,-998
2016/7/13 09:00,1.63,-998
2016/7/13 10:00,1.61,-998
2016/7/13 11:00,1.6,-998
2016/7/13 12:00,1.59,-998
2016/7/13 13:00,1.57,-998
2016/7/13 14:00,1.56,-998
2016/7/13 15:00,1.55,-998
2016/7/13 16:00,1.54,-998
2016/7/13 17:00,1.53,-998
2016/7/13 18:00,1.51,-998
2016/7/13 19:00,1.51,-998
2016/7/13 20:00,1.51,-998
2016/7/13 21:00,1.5,-998
2016/7/13 22:00,1.5,-998
2016/7/13 23:00,1.49,-998
2016/7/14 00:00,1.48,-998
2016/7/14 01:00,1.48,-998
2016/7/14 02:00,1.47,-998
2016/7/14 03:00,1.46,-998
2016/7/14 04:00,1.46,-998
2016/7/14 05:00,1.46,-998
